NAME	LAT	LNG	CAPACITY	STARS	LANGUAGES
Pampa	42.578165	1.479391	100	4.5	CA,ES,FR,EN
Restaurant Xalet - Montane	42.572926	1.48389	65	4.5	CA,ES,FR,EN
Deja Vu	42.571914	1.484574	50	4.5	CA,ES,EN
Ca la Lydia	42.544467	1.47836	40	4.5	CA,ES,FR
La Llum D'Oli	42.569071	1.488556	40	4.5	CA,ES,FR,EN
Refugi D'Arinsal	42.57421	1.469986	30	4.5	
Borda Casa Vella Pales	42.543661	1.523312	50	4.5	CA,ES,FR,EN
La Cuina d'en Joan 	42.546755	1.514053	35	4.5	CA,ES,FR,EN
El Moli De La Placa	42.572597	1.483995	45	4.5	CA,ES,FR,EN
Restaurant 360_	42.573389	1.483114	50	4.5	CA,ES,FR,EN
Borda D'Erts	42.561817	1.496243	55	4.5	
Quo Vadis	42.573337	1.483382	200	4.5	
BambÏ Oriental (Palarine)	42.561501	1.497488	65	4.5	CA,ES,FR,EN
El Cap Bo	42.508734	1.532335	30	4.5	CA,ES,FR,EN
Restaurant Versailles	42.507997	1.521754	40	4.5	CA,ES,FR,EN
Restaurant El Burg	42.50457	1.51511	80	4.5	CA,ES,FR,EN
Cisco De Sans	42.507032	1.520534	50	4.5	CA,ES,FR,EN
La Cava	42.508355	1.52195	46	4.5	CA,ES,FR,EN
Eximi	42.508054	1.522881	60	4.5	CA,ES,FR,EN
La Brasa D'En Josep	42.494074	1.499897	40	4.5	CA,ES,FR
Restaurant Ca La Conxita	42.508792	1.522307	30	4.5	CA,ES,FR
El Crosto	42.508159	1.522191	20	4.5	CA,ES,FR
3 Eixos	42.507999	1.527796	80	4.5	CA,ES
Bodega Poblet	42.508742	1.52137	30	4.5	CA,ES,FR,EN
Restaurant Pizzeria La Cantina	42.508206	1.521596	30	4.5	CA,ES,FR,EN
L'Escenari De Les Pizzes	42.509819	1.531081	16	4.5	CA,ES,FR,EN
Plat'In	42.507485	1.531799	34	4.5	CA,ES,FR,EN
Can Manel	42.506403	1.515821	45	4.5	CA,ES,FR,EN
Andorra Park Hotel	42.509279	1.522746	60	4.5	CA,ES,FR,EN
K L'Irina	42.506963	1.528661	42	4.5	CA,ES,FR,EN
TatÏ	42.505191	1.525372	40	4.5	CA,ES,FR,EN
Quarts De Quinze	42.508002	1.521909	24	4.5	CA,ES,FR,EN
Vietnam Gourmet	42.506615	1.530659	30	4.5	CA,ES,FR,EN
Restaurant Coma	42.506925	1.520784	20	4.5	CA,ES,FR,EN
Borda De Les Pubilles	42.46258	1.50197	60	4.5	CA,ES,FR,EN
Pizzeria Uruguaia	42.462984	1.491147	45	4.5	CA,ES
Restaurant Pizzeria Venecia	42.462614	1.491177	90	4.5	CA,ES,FR
Restaurant San Telmo	42.465734	1.495101	70	4.5	CA
Cafe Principal	42.462966	1.490962	50	4.5	CA,ES
Parador De Canolich	42.474671	1.451595	35	4.5	CA,ES,FR,EN
I Termes Carlemany	42.509211	1.544384	40	4.5	CA,ES,FR
Restaurant El Passadis	42.510848	1.53371	90	4.5	CA,ES,FR,EN
Restaurant El Refugi ( Tropical)	42.512886	1.551229	116	4.5	CA,ES,FR,EN
Restaurant L'Enoteca	42.510031	1.539752	35	4.5	CA,ES,FR,EN
Restaurant El Serch	42.512199	1.535392	50	4.5	CA,ES,FR,EN
Borda Del Rector	42.582664	1.662712	80	4	CA,ES,FR,EN
Els Pessons	42.574299	1.620532	40	4	CA,ES,FR
Fabrica De Gel	42.566329	1.598071	80	4	CA,ES,FR,EN
Frankfurt El Cobert	42.566139	1.59835	30	4	CA,ES,FR
Bruxelles	42.576944	1.666526	50	4	CA,ES,FR,EN
Llop Gris	42.578119	1.648361	80	4	CA,ES,FR,EN
Naudi	42.576831	1.666104	100	4	CA,ES,FR,EN
Parador Canaro	42.579037	1.658769	140	4	CA,ES,FR,EN
Peretol	42.560438	1.682079	60	4	CA,ES,FR,EN
Soldeu Maistre	42.577215	1.666269	30	4	CA,ES,FR,EN
Xalet Montana	42.577175	1.666113	90	4	CA,ES,FR,EN
Origen	42.575617	1.670887	45	4	CA,ES,FR,EN
Restaurant Manacor Grill	42.579005	1.641378	100	4	CA,ES,FR,EN
Restaurant Moli Del Peano	42.567835	1.602384	35	4	CA,ES,FR,EN
Ski Plaza	42.565811	1.59739	100	4	CA,ES,FR,EN
Steak House - Gall De Bosc	42.577213	1.647906	88	4	CA,ES,FR,EN
Trattoria - Riba Escorxada	42.567491	1.641342	167	4	CA,ES,FR,EN
El Raco Del Garri	42.533489	1.579902	30	4	CA,ES
AndBurger Zero	42.536265	1.583022	300	4	CA,ES,EN
El Mallador Del Guillem	42.535706	1.583233	100	4	CA,ES,FR,EN
Benito	42.533133	1.579092	48	4	CA,ES,FR
La Cirera	42.534597	1.587114	100	4	CA,ES,FR,EN
Funicamp	42.535604	1.587378	30	4	CA,ES,EN
Llac I Cel	42.521617	1.571345	40	4	CA,ES,FR,EN
Le Bistrot	42.531893	1.57362	75	4	CA,ES,FR,EN
Montecarlo	42.532212	1.573877	80	4	CA,ES,FR,EN
El Marselles	42.541226	1.732554	30	4	CA,ES,FR,EN
La Copa	42.541819	1.731825	30	4	CA,ES,FR,EN
AndBurger Zero	42.532118	1.695904	75	4	CA,ES,EN
Restaurant L'Husky	42.540683	1.731697	30	4	CA,ES,FR,EN
Cims Pas	42.542347	1.734306	120	4	CA,ES,FR,EN
El Gargantua	42.539477	1.73349	120	4	CA,ES,FR,EN
La Di Roma	42.540924	1.733651	30	4	CA,ES,FR,EN
La Gratinada	42.540883	1.733738	130	4	CA,ES,FR,EN
Catalunya	42.541829	1.733308	60	4	CA,ES,FR,EN
Apartaments Turistics Manzano	42.541266	1.730834	30	4	CA,ES,FR,EN
L'Oregon	42.542441	1.734434	30	4	CA,ES,FR,EN
Cubil	42.532069	1.695909	58	4	CA,ES,FR,EN
Babot	42.555038	1.540418	100	4	CA,ES,FR,EN
Hotel Coma	42.555887	1.535333	120	4	CA,ES,FR,EN
Hotel Gaspa	42.550891	1.526034	90	4	CA,ES,FR,EN
Cal Tonet	42.573097	1.518705	50	4	CA,ES,FR
Sucara	42.574139	1.518471	50	4	CA,ES,FR
Arans	42.582182	1.518978	45	4	CA,ES,FR
L'Era D'En Jaume	42.596366	1.526912	70	4	
La Font D'Arans	42.58232	1.519289	30	4	CA,ES,FR,EN
Polar Base Restaurant	42.574801	1.481846	50	4	CA,ES,EN
Polar Bar Restaurant	42.567147	1.476674	100	4	CA,ES,FR,EN
Cerro Otto	42.56984	1.487614	48	4	CA,ES,FR
Versio Original	42.544765	1.514955	30	4	CA,ES,FR,EN
Casino	42.540082	1.519235	80	4	CA,ES,FR
L'Hort De Casa	42.561838	1.496402	50	4	CA,ES,FR,EN
Cal Silvino	42.545994	1.517057	65	4	CA,ES,FR
Pizzeria Angelo	42.507983	1.534337	100	4	CA,ES,FR,EN
Emo - Hotel Palom_	42.565187	1.490855	60	4	CA,ES,FR,EN
Hostal Palanques	42.545761	1.514418	30	4	CA,ES,FR,EN
Del Bisset	42.5429	1.523355	30	4	CA,ES,FR
Borda Raubert	42.559281	1.503268	80	4	CA,ES,EN
Restaurant El Bosc	42.56979	1.487682	60	4	CA,ES,FR,EN
El Vesuvi	42.54367	1.516758	49	4	CA,ES,FR
Cisco's Pub Restaurant	42.572778	1.483981	30	4	CA,ES,FR,EN
Surf	42.572456	1.48301	80	4	CA,ES,FR,EN
Moli Dels Fanals	42.533315	1.516312	100	4	CA,ES,FR,EN
Restaurant Pontones	42.496096	1.502635	100	4	
Residencia-Restaurant Indalo	42.510045	1.531635	50	4	CA,ES,FR,EN
Cantina De La Adelita	42.507826	1.521954	40	4	CA,ES,FR,EN
La Taverna D'En Mallol	42.50701	1.531788	45	4	CA,ES,FR
Restaurant Borda Poblado	42.490982	1.496378	200	4	CA,ES,FR
Husa Centric Hotel	42.508339	1.531348	110	4	CA,ES,FR,EN
(Mercure Andorra) El Jardi	42.507726	1.527459	30	4	CA,ES,FR,EN
Novotel El Grill	42.507603	1.527379	153	4	CA,ES,FR,EN
La Borda Pairal 1630	42.505643	1.52141	100	4	CA,ES,FR,EN
Papanico	42.50758	1.521521	90	4	CA,ES,FR,EN
Dos Cacadors	42.507524	1.522368	50	4	CA,ES,FR,EN
L'Arrosseria	42.507168	1.521413	30	4	CA,ES,FR,EN
El Tall A Taula	42.507123	1.531254	100	4	CA,ES,FR,EN
Can Benet	42.507261	1.520496	33	4	CA,ES,FR
AndBurger Zero	42.508173	1.522186	30	4	CA,ES,FR,EN
Eatalian Republic	42.50704	1.526075	30	4	CA,ES,FR,EN
Angelo & Friends	42.507336	1.533083	100	4	CA,ES,FR,EN
La Adelita	42.507764	1.52194	35	4	CA,ES,FR,EN
Buffet El Grill	42.536523	1.49163	285	4	CA,ES,FR,EN
1940	42.507414	1.519675	100	4	CA,ES,FR,EN
Taberna Angel Belmonte	42.507421	1.530812	80	4	CA,ES,FR,EN
L'Olive (Tivoli)	42.50771	1.531911	53	4	CA,ES,FR,EN
El Bon Raco	42.495106	1.504494	210	4	CA,ES,FR,EN
Restaurant Henri	42.507003	1.526093	30	4	CA,ES,EN
La Piazza	42.507672	1.531553	96	4	CA,ES,FR,EN
Celler D'En Toni	42.507117	1.531842	60	4	CA,ES,FR,EN
Pizzeria Primavera	42.507026	1.529996	70	4	CA,ES,FR,EN
The Family Arms	42.507496	1.522937	60	4	CA,ES,FR,EN
Restaurant Plaza	42.506317	1.521836	30	4	CA,ES,FR,EN
Borda Estevet	42.503297	1.519555	180	4	CA,ES,FR,EN
Plato Restaurant	42.507093	1.526778	60	4	CA,ES,FR,EN
Andorra Doner Kebab	42.50678	1.528792	75	4	CA,ES,EN
Restaurant Minim's	42.5072	1.520759	36	4	CA,ES,FR,EN
Pizzeria Angelo	42.46939	1.492588	115	4	CA,ES,FR,EN
Coma-Bella	42.446503	1.494613	40	4	CA,ES,FR,EN
Folch	42.467562	1.493623	200	4	CA,ES,FR,EN
La Tagliatella	42.508647	1.537131	400	4	CA,ES,FR,EN
Hotel Mola Park	42.511194	1.53969	70	4	CA,ES,FR,EN
Restaurant Tic Tapa	42.508367	1.535897	100	4	CA,ES,FR,EN
La Nova Forquilla	42.507793	1.53594	55	4	CA,ES,FR
El Greco	42.507943	1.535511	60	4	CA,ES,FR
Espel	42.51061	1.54204	180	4	CA,ES,FR,EN
Restaurant cafeteria Les Closes	42.508663	1.536895	106	4	CA,ES,FR,EN
Restaurant I_	42.51127	1.537525	40	4	CA,ES,FR,EN
Pizzeria Angelo	42.50773	1.534261	160	4	CA,ES,FR,EN
AndBurger Zero	42.509106	1.537873	70	4	CA,ES,FR,EN
Restaurant Mussol	42.510464	1.541187	80	4	CA,ES,FR,EN
Pizzeria La Plazzeta	42.508472	1.536831	102	4	CA,ES,FR,EN
Restaurant Bar Xup-Xup	42.508189	1.539191	120	4	CA,ES,FR,EN
Cesar Ii	42.509161	1.54182	30	4	CA,ES,FR
Restaurant Don Denis	42.508386	1.536407	400	4	CA,ES,FR,EN
Restaurant L'Entrecªte	42.509248	1.539443	60	4	CA,ES,FR,EN
El Rebost Iberic	42.508583	1.535268	100	4	CA,ES,FR,EN
Prat Del Roure	42.510882	1.535988	100	4	CA,ES,FR,EN
Cheese's Art	42.508647	1.537979	100	4	CA,ES,FR
Restaurant Eureka	42.508726	1.540189	100	4	CA,ES,FR
Restaurant Casa Canut	42.508568	1.535704	30	4	CA,ES,FR,EN
Memfis (Delfos)	42.508082	1.538413	250	4	CA,ES,FR,EN
Comtes D'Urgell	42.510704	1.541176	250	4	CA,ES,FR,EN
Arlequi Pizza	42.565819	1.597529	28	3.5	CA,ES,FR,EN
Arrels	42.575878	1.670183	100	3.5	CA,ES,FR,EN
Restaurant Fontanella	42.576731	1.667105	80	3.5	CA,ES,FR,EN
Terrassa Del Solö	42.566261	1.598771	180	3.5	CA,ES,FR,EN
Pizzeria La Mosquera	42.536501	1.583169	30	3.5	CA,ES,FR,EN
Mc Donald's	42.543509	1.732031	210	3.5	CA,ES,FR,EN
Restaurant De Les Neus	42.543192	1.734177	50	3.5	CA,ES,FR,EN
Parma	42.54339	1.732728	40	3.5	CA,ES,FR,EN
Pista Negra	42.543173	1.731854	30	3.5	CA,ES,FR,EN
Bar Armengol Casa Leon	42.556722	1.533226	30	3.5	CA,ES,FR,EN
Topic	42.556511	1.534575	140	3.5	CA,ES,FR,EN
Santa Barbara	42.556876	1.533574	40	3.5	CA,ES,FR,EN
Camping Borda D'Ansalonga	42.568289	1.521907	40	3.5	
La Cabana	42.552862	1.533156	50	3.5	CA,ES,FR,EN
Taverna Comapedrosa / Comapedrosa	42.571924	1.483629	30	3.5	CA,ES,FR,EN
Abba Xalet Suites Hotel	42.532591	1.518441	150	3.5	CA,ES,FR,EN
Pla De La Cot Ski Lounge	42.530376	1.47359	300	3.5	CA,ES,FR,EN
Borda De L'Avi	42.551515	1.510363	200	3.5	CA,ES,FR,EN
La Torrada	42.553057	1.487929	40	3.5	
Restaurant Del Prat Gran	42.548338	1.512991	110	3.5	CA,ES,FR,EN
Don Pernil	42.494932	1.497703	140	3.5	CA,ES,FR,EN
Casa Teva	42.500334	1.508026	60	3.5	CA,ES,FR
120	42.508394	1.533402	200	3.5	CA,ES,FR,EN
Sant Jordi	42.506434	1.518407	60	3.5	CA,ES,FR,EN
Mc Donald's	42.507979	1.524892	160	3.5	CA,ES,FR
Mc Donald's	42.508521	1.533526	120	3.5	CA,ES,FR
Mc Donald's	42.505136	1.528076	200	3.5	CA,ES,FR
El Japo	42.508907	1.528738	36	3.5	CA,ES,FR,EN
Viena	42.495343	1.505299	30	3.5	CA,ES,FR,EN
Casa Teresa	42.507955	1.528832	125	3.5	CA,ES,FR
Sushi & Gong	42.508037	1.522708	30	3.5	CA,ES,EN
La Boheme	42.507864	1.523602	40	3.5	CA,ES,FR,EN
El Refugi Alpi	42.508964	1.529095	126	3.5	CA,ES,FR,EN
El Faisa	42.507908	1.522285	28	3.5	CA,ES,FR
Hotel Restaurant de L'Isard	42.50806	1.525206	100	3.5	CA,ES,FR,EN
Els Teus Sentits	42.507216	1.520719	36	3.5	CA,ES,FR,EN
Self-Service Cafeteria Cca	42.50823	1.53034	30	3.5	CA,ES,FR,EN
Frankfurt Pedralbes	42.507828	1.532662	30	3.5	CA,ES,EN
Bar Els Manyos	42.505169	1.52641	30	3.5	CA,ES,FR
Andorra Center	42.507671	1.520488	240	3.5	CA,ES,FR,EN
Restaurant Barcelona	42.476344	1.49009	40	3.5	CA,ES,FR,EN
Borda L'Arena	42.47751	1.472608	48	3.5	CA,ES,FR
Pizzeria Trovi	42.448035	1.481756	80	3.5	CA,ES,FR
Sant Eloi	42.458155	1.487768	160	3.5	CA,ES,FR,EN
Mc Donalds	42.45983	1.489063	215	3.5	CA,ES,FR
Restaurant Peralba	42.476229	1.488716	40	3.5	CA,ES,FR,EN
Cosmos	42.510118	1.53821	90	3.5	CA,ES,FR,EN
Els Jardins	42.510973	1.540436	60	3.5	CA,ES,FR,EN
Hong Kong	42.508889	1.536718	50	3.5	CA,ES,FR,EN
Restaurant Deimos	42.511597	1.537338	120	3.5	CA,ES,FR,EN
Panorama	42.50778	1.540967	200	3.5	CA,ES,FR,EN
Restaurant Jaleo	42.511093	1.538424	60	3.5	CA,ES,FR,EN
Pizza Roma	42.508632	1.535267	116	3.5	CA,ES,FR,EN
Restaurant Kronos (Fenix Hotel)	42.509553	1.539615	120	3.5	CA,ES,FR,EN
Casa Del Bistec	42.50856	1.535983	57	3.5	CA,ES,FR,EN
El Xalet	42.572907	1.483916	35	3	CA,ES,FR
Roc De Sant Miquel	42.580973	1.663871	30	3	CA,ES,FR,EN
La Relliscada	42.565852	1.597959	30	3	CA,ES,FR,EN
Pere D'Urg	42.534864	1.580288	130	3	CA,ES,FR
Paris	42.535896	1.581838	60	3	CA,ES
Cafe De La Residencia	42.543161	1.731833	70	3	
El Carlit de Neu	42.54071	1.733775	80	3	CA,ES,FR,EN
La Borda	42.573436	1.477747	30	3	CA,ES,FR,EN
El Piolet	42.52582	1.698304	180	3	CA,ES,FR,EN
Burger King	42.54139	1.732289	30	3	
Pradet	42.619096	1.538811	30	3	
Erts	42.561651	1.497772	60	3	CA,ES,FR,EN
El Raco De La Fina	42.547239	1.514697	75	3	CA,ES,FR,EN
Delizioso	42.532971	1.524096	80	3	CA,ES,FR,EN
Bar Restaurant La Nogreda	42.500946	1.519072	35	3	CA,ES
Mama Maria	42.50807	1.524965	200	3	CA,ES,FR,EN
 Burger King	42.506132	1.532367	260	3	CA,ES,FR,EN
Diplomatic	42.505386	1.528712	85	3	CA,ES,FR,EN
Buda Espai	42.50063	1.512837	110	3	CA,ES,FR,EN
Lizarran	42.50841	1.529953	50	3	CA,ES,FR,EN
Cervol	42.503081	1.513228	20	3	CA,ES,FR,EN
La Quadra	42.476378	1.488862	180	3	CA
La Taverna D'Excalibur	42.508742	1.54021	120	3	CA,ES,FR,EN
La Taverna Italiana	42.508691	1.54006	150	3	CA,ES,FR,EN
RÏstic Chic	42.507906	1.534272	32	3	CA,ES,FR
Oriol	42.509193	1.53977	50	3	CA,ES,FR,EN
Les Barques	42.508527	1.535892	100	3	CA,ES,FR,EN
La Tapad'Era	42.508117	1.538435	40	3	CA,ES,FR,EN
Oros	42.536339	1.582332	30	2.5	CA,ES,FR,EN
Xurrasqueria Moncanense	42.533863	1.58024	30	2.5	CA,ES,FR
Restaurant Cafeteria L'Orri	42.507184	1.525855	70	2.5	CA,ES,FR
La Mossegada	42.508964	1.529149	140	2.5	CA,ES,FR
Vilarrasa	42.508272	1.521311	70	2.5	CA,ES,FR,EN
Bellpi	42.503825	1.514091	30	2.5	CA,ES,FR
L'AigÙeta	42.505191	1.525394	160	2.5	CA,ES,FR,EN
Borda De Conangle	42.441131	1.500406	50	2.5	
La Taverna Cal Forest	42.508758	1.537238	70	2.5	CA,ES,FR,EN
Restaurant Camp Del Serrat	42.517434	1.568223	125	2.5	CA,ES,FR,EN
La Taverna Del Pas	42.543374	1.731741	130	2	CA,ES,FR,EN
El Central	42.542916	1.733683	170	2	CA,ES,FR,EN
Cal Ruiz	42.544007	1.733329	30	2	CA,ES,FR,EN
Gino's Pizzeria	42.543752	1.732158	60	2	CA,ES,FR,EN
Marco Polo	42.542618	1.516964	180	2	CA,ES,FR,EN
Oxalis (President)	41.953669	2.639749	150	2	CA,ES,FR,EN
Restaurant Central	42.505612	1.526125	30	2	CA,ES,FR
Fresc Co	42.509174	1.527422	80	2	CA,ES,FR,EN
Co-Princeps	42.468223	1.49339	140	2	CA,ES,FR
La Taverna Del Pa Amb Tomaquet	42.508679	1.539105	65	2	CA,ES,FR,EN
Restaurant La Rabassa	42.447761	1.508746	50	1.5	CA,ES
Arts Bufet	42.508221	1.536351	80	1.5	CA,ES,FR,EN
La Taverna Americana	42.543461	1.732138	120	1	CA,ES,FR,EN
